price,dateSold,bathrooms,bedrooms,livingArea,homeType,lotAreaValue,zipcode,elem,middle,high,Year built
800000,Q3_2021,4.0,5.0,3650.0,SINGLE_FAMILY,222155.99999999997,20854,wayside elementary,herbert hoover middle,winston churchill high,42.0
800000,Q2_2021,1.0,2.0,1400.0,SINGLE_FAMILY,10890.0,20814,kensington parkwood elementary,tilden middle,walter johnson high,106.0
800000,Q3_2020,3.0,4.0,1826.0,SINGLE_FAMILY,9148.0,20817,bethesda elementary,tilden middle,walt whitman high,65.0
800000,Q2_2021,3.0,4.0,2810.0,SINGLE_FAMILY,9811.0,20854,ritchie park elementary,cabin john middle,winston churchill high,56.0
800000,Q1_2021,2.0,5.0,2115.0,SINGLE_FAMILY,16521.99998724,20815,bethesda elementary,thomas w. pyle middle,albert einstein high,153.0
800000,Q2_2021,3.0,3.0,1913.0,SINGLE_FAMILY,8679.0,20815,bethesda elementary,tilden middle,walt whitman high,69.0
800000,Q3_2021,2.0,3.0,1714.0,SINGLE_FAMILY,5334.0,20814,bethesda elementary,north bethesda middle,walt whitman high,75.0
800000,Q3_2021,3.0,4.0,2432.0,SINGLE_FAMILY,7026.0,20817,ashburton elementary,north bethesda middle,walt whitman high,43.0
800000,Q3_2020,3.0,3.0,2168.0,SINGLE_FAMILY,8444.0,20895,kensington parkwood elementary,a. mario loiederman middle,albert einstein high,71.0
800000,Q1_2021,3.0,5.0,2464.0,TOWNHOUSE,4230.0,20854,ashburton elementary,cabin john middle,winston churchill high,48.0
800000,Q1_2021,3.0,4.0,2245.0,SINGLE_FAMILY,13427.00000136,20895,flora m. singer elementary,a. mario loiederman middle,albert einstein high,61.0
800000,Q2_2021,3.0,4.0,2450.0,SINGLE_FAMILY,10125.0,20854,wayside elementary,cabin john middle,winston churchill high,48.0
800000,Q3_2021,4.0,3.0,2898.0,TOWNHOUSE,2040.0,20854,wayside elementary,cabin john middle,winston churchill high,35.0
800000,Q1_2021,4.0,3.0,1850.0,TOWNHOUSE,915.0,20817,ashburton elementary,tilden middle,walter johnson high,5.0
800000,Q3_2020,2.0,3.0,1720.0,SINGLE_FAMILY,11617.999984799999,20817,bethesda elementary,tilden middle,walt whitman high,70.0
800000,Q2_2021,4.0,3.0,2195.0,TOWNHOUSE,2832.0,20852,ashburton elementary,tilden middle,walter johnson high,34.0
800000,Q3_2021,3.0,4.0,2392.0,SINGLE_FAMILY,9200.0,20854,ritchie park elementary,julius west middle,winston churchill high,57.0
800000,Q2_2021,9.0,11.0,5472.0,SINGLE_FAMILY,43560.0,20853,sequoyah elementary,rosa m. parks middle,rockville high,23.0
800000,Q3_2021,4.0,4.0,4392.0,SINGLE_FAMILY,17409.99999024,20872,woodfield elementary,hallie wells middle,clarksburg high,23.0
800000,Q3_2020,4.0,4.0,3028.0,TOWNHOUSE,2025.0,20878,summit hall elementary,lakelands park middle,gaithersburg high,8.0
800000,Q3_2021,3.0,4.0,3432.0,SINGLE_FAMILY,9185.0,20854,cold spring elementary,cabin john middle,winston churchill high,55.0
800000,Q2_2021,3.0,3.0,2436.0,SINGLE_FAMILY,131116.00001148,20841,waters landing elementary,kingsview middle,clarksburg high,34.0
800000,Q2_2021,4.0,4.0,2815.0,SINGLE_FAMILY,12076.000017839999,20832,greenwood elementary,rosa m. parks middle,sherwood high,20.0
800000,Q2_2021,4.0,5.0,2648.0,SINGLE_FAMILY,9600.0,20850,fallsmead elementary,julius west middle,richard montgomery high,48.0
800000,Q2_2021,3.0,4.0,3415.0,SINGLE_FAMILY,87120.0,20833,greenwood elementary,rosa m. parks middle,sherwood high,20.0
800000,Q1_2021,3.0,4.0,2444.0,SINGLE_FAMILY,10264.0,20854,ritchie park elementary,julius west middle,richard montgomery high,55.0
800000,Q1_2021,4.0,4.0,4260.0,SINGLE_FAMILY,10009.0,20874,great seneca creek elementary,kingsview middle,northwest high,23.0
800000,Q3_2021,5.0,5.0,2514.0,SINGLE_FAMILY,10057.0,20832,greenwood elementary,rosa m. parks middle,sherwood high,27.0
800000,Q1_2021,4.0,5.0,2374.0,TOWNHOUSE,2649.0,20850,lakewood elementary,julius west middle,richard montgomery high,18.0
800000,Q3_2020,5.0,4.0,6342.0,SINGLE_FAMILY,6600.0,20871,wilson wims elementary,rocky hill middle,clarksburg high,11.0
800000,Q3_2020,4.0,3.0,3196.0,SINGLE_FAMILY,3691.0,20850,college gardens elementary,julius west middle,gaithersburg high,21.0
800000,Q2_2021,4.0,3.0,2433.0,SINGLE_FAMILY,2750.0,20878,thurgood marshall elementary,lakelands park middle,quince orchard high,27.0
800000,Q2_2021,4.0,4.0,3522.0,SINGLE_FAMILY,29626.99998192,20874,spark m. matsunaga elementary,kingsview middle,northwest high,37.0
800000,Q2_2021,3.0,4.0,3716.0,SINGLE_FAMILY,13211.999994599999,20832,cashell elementary,rosa m. parks middle,james hubert blake high,35.0
800000,Q1_2021,5.0,5.0,5213.0,SINGLE_FAMILY,16470.9999828,20871,wilson wims elementary,hallie wells middle,clarksburg high,15.0
800000,Q2_2021,5.0,4.0,3712.0,SINGLE_FAMILY,9750.0,20876,dr. sally k. ride elementary,neelsville middle,watkins mill high,22.0
800000,Q1_2021,3.0,4.0,2475.0,SINGLE_FAMILY,13265.000012879998,20854,ritchie park elementary,cabin john middle,winston churchill high,57.0
800000,Q1_2021,4.0,5.0,4262.0,SINGLE_FAMILY,139828.00001148,20882,woodfield elementary,hallie wells middle,clarksburg high,17.0
800000,Q1_2021,5.0,5.0,4300.0,SINGLE_FAMILY,87120.0,20882,dr. sally k. ride elementary,neelsville middle,watkins mill high,27.0
800000,Q3_2021,4.0,4.0,4592.0,SINGLE_FAMILY,66564.00001944,20882,flower hill elementary,rosa m. parks middle,watkins mill high,28.0
801000,Q1_2021,3.0,4.0,1860.0,SINGLE_FAMILY,11121.99999372,20814,ashburton elementary,tilden middle,walter johnson high,65.0
801000,Q2_2021,4.0,3.0,2388.0,TOWNHOUSE,3477.0,20854,wayside elementary,cabin john middle,winston churchill high,35.0
801000,Q3_2021,4.0,4.0,3736.0,SINGLE_FAMILY,7549.0,20874,spark m. matsunaga elementary,kingsview middle,northwest high,23.0
802000,Q2_2021,4.0,3.0,2432.0,TOWNHOUSE,2122.0,20850,lakewood elementary,julius west middle,gaithersburg high,18.0
802909,Q3_2020,2.0,5.0,2188.0,SINGLE_FAMILY,77513.99999904,20854,wayside elementary,herbert hoover middle,winston churchill high,54.0
803000,Q2_2021,3.0,4.0,1760.0,SINGLE_FAMILY,8359.0,20901,rolling terrace elementary,eastern middle,northwood high,73.0
803000,Q1_2021,5.0,5.0,4014.0,SINGLE_FAMILY,88426.99998396,20874,spark m. matsunaga elementary,kingsview middle,northwest high,43.0
803275,Q3_2020,4.0,4.0,3866.0,SINGLE_FAMILY,41819.999981760004,20904,forest knolls elementary,white oak middle,springbrook high,69.0
803500,Q3_2020,3.0,4.0,2196.0,SINGLE_FAMILY,7913.0,20814,ashburton elementary,tilden middle,walter johnson high,58.0
803500,Q3_2020,4.0,5.0,2700.0,SINGLE_FAMILY,9225.0,20854,ritchie park elementary,cabin john middle,winston churchill high,58.0
804000,Q2_2021,4.0,4.0,2532.0,TOWNHOUSE,1949.0,20852,luxmanor elementary,tilden middle,walter johnson high,41.0
804000,Q2_2021,4.0,4.0,5673.0,SINGLE_FAMILY,20926.00001448,20877,summit hall elementary,gaithersburg middle,gaithersburg high,27.0
805000,Q3_2021,5.0,3.0,2472.0,TOWNHOUSE,4116.0,20852,ashburton elementary,tilden middle,walter johnson high,39.0
805000,Q1_2021,3.0,4.0,2600.0,SINGLE_FAMILY,8816.0,20817,bethesda elementary,tilden middle,walt whitman high,66.0
805000,Q2_2021,1.0,3.0,1404.0,SINGLE_FAMILY,6325.0,20815,bethesda elementary,thomas w. pyle middle,walt whitman high,100.0
805000,Q2_2021,5.0,4.0,2472.0,TOWNHOUSE,1292.0,20910,rosemary hills elementary,a. mario loiederman middle,northwood high,13.0
805000,Q2_2021,4.0,4.0,3998.0,SINGLE_FAMILY,18975.00001716,20905,stonegate elementary,argyle middle,james hubert blake high,30.0
805000,Q1_2021,3.0,4.0,3111.0,SINGLE_FAMILY,9210.0,20878,dufief elementary,lakelands park middle,quince orchard high,31.0
805000,Q2_2021,4.0,5.0,4225.0,SINGLE_FAMILY,18262.00000548,20905,stonegate elementary,argyle middle,james hubert blake high,33.0
805000,Q2_2021,4.0,4.0,3658.0,SINGLE_FAMILY,7292.0,20906,strathmore elementary,argyle middle,john f. kennedy high,4.0
805000,Q3_2021,4.0,4.0,2061.0,SINGLE_FAMILY,8314.0,20850,fallsmead elementary,julius west middle,richard montgomery high,44.0
805000,Q2_2021,4.0,5.0,4437.0,SINGLE_FAMILY,16308.999994319998,20841,spark m. matsunaga elementary,kingsview middle,northwest high,18.0
805000,Q2_2021,3.0,3.0,2647.0,TOWNHOUSE,2576.0,20850,lakewood elementary,julius west middle,richard montgomery high,19.0
805000,Q2_2021,4.0,4.0,4101.0,SINGLE_FAMILY,104980.00001148,20842,monocacy elementary,kingsview middle,poolesville high,23.0
805000,Q3_2020,3.0,4.0,2606.0,SINGLE_FAMILY,9893.0,20854,ritchie park elementary,julius west middle,winston churchill high,58.0
805150,Q2_2021,3.0,3.0,1575.0,SINGLE_FAMILY,9130.0,20817,ashburton elementary,north bethesda middle,walter johnson high,59.0
805291,Q1_2021,4.0,4.0,4446.0,SINGLE_FAMILY,208651.99998852,20882,woodfield elementary,hallie wells middle,watkins mill high,43.0
806000,Q1_2021,4.0,4.0,3269.0,SINGLE_FAMILY,10942.00001136,20854,wayside elementary,cabin john middle,winston churchill high,49.0
806000,Q2_2021,3.0,3.0,2490.0,TOWNHOUSE,1968.0,20852,ritchie park elementary,tilden middle,walter johnson high,23.0
806000,Q2_2021,4.0,5.0,2624.0,SINGLE_FAMILY,40017.00000672,20882,flower hill elementary,redland middle,watkins mill high,30.0
806000,Q2_2021,4.0,4.0,2846.0,SINGLE_FAMILY,24439.00001796,20853,sequoyah elementary,redland middle,rockville high,49.0
807000,Q2_2021,4.0,4.0,2624.0,SINGLE_FAMILY,9097.0,20850,lakewood elementary,julius west middle,richard montgomery high,55.0
807000,Q3_2021,4.0,4.0,3628.0,SINGLE_FAMILY,7120.0,20874,spark m. matsunaga elementary,kingsview middle,northwest high,23.0
807500,Q2_2021,4.0,4.0,2985.0,SINGLE_FAMILY,6308.0,20895,rock view elementary,a. mario loiederman middle,albert einstein high,48.0
807500,Q1_2021,3.0,3.0,2937.0,TOWNHOUSE,2453.0,20910,rosemary hills elementary,sligo middle,albert einstein high,14.0
808000,Q2_2021,3.0,4.0,3152.0,SINGLE_FAMILY,56442.000019679996,20882,woodfield elementary,hallie wells middle,clarksburg high,30.0
808200,Q3_2021,4.0,5.0,4101.0,SINGLE_FAMILY,7979.0,20861,sherwood elementary,rosa m. parks middle,james hubert blake high,16.0
808500,Q3_2020,4.0,4.0,2744.0,TOWNHOUSE,2181.0,20852,luxmanor elementary,tilden middle,walter johnson high,41.0
808500,Q2_2021,4.0,4.0,4379.0,SINGLE_FAMILY,87120.0,20882,woodfield elementary,hallie wells middle,clarksburg high,23.0
809000,Q2_2021,4.0,4.0,4670.0,SINGLE_FAMILY,10186.0,20871,wilson wims elementary,hallie wells middle,clarksburg high,7.0
810000,Q2_2021,3.0,4.0,1861.0,SINGLE_FAMILY,7245.0,20814,kensington parkwood elementary,thomas w. pyle middle,walter johnson high,65.0
810000,Q1_2021,5.0,5.0,4785.0,SINGLE_FAMILY,8999.0,20817,bethesda elementary,thomas w. pyle middle,walt whitman high,0.0
810000,Q3_2020,4.0,4.0,2209.0,SINGLE_FAMILY,8483.0,20910,rosemary hills elementary,a. mario loiederman middle,northwood high,64.0
810000,Q3_2020,4.0,4.0,2730.0,SINGLE_FAMILY,5208.0,20895,rosemary hills elementary,sligo middle,albert einstein high,41.0
810000,Q3_2021,3.0,4.0,2184.0,SINGLE_FAMILY,10211.0,20817,ashburton elementary,thomas w. pyle middle,walter johnson high,60.0
810000,Q3_2020,4.0,4.0,2459.0,SINGLE_FAMILY,8276.0,20910,rosemary hills elementary,a. mario loiederman middle,northwood high,64.0
810000,Q1_2021,3.0,3.0,1815.0,SINGLE_FAMILY,8486.0,20816,bethesda elementary,tilden middle,walt whitman high,66.0
810000,Q1_2021,2.0,3.0,2634.0,SINGLE_FAMILY,5124.0,20814,ashburton elementary,tilden middle,walter johnson high,69.0
810000,Q3_2021,3.0,4.0,2150.0,SINGLE_FAMILY,8905.0,20814,kensington parkwood elementary,thomas w. pyle middle,walter johnson high,67.0
810000,Q2_2021,3.0,4.0,3380.0,SINGLE_FAMILY,20005.00000092,20904,forest knolls elementary,argyle middle,springbrook high,57.0
810000,Q2_2021,3.0,5.0,3120.0,SINGLE_FAMILY,12258.00001404,20854,ritchie park elementary,julius west middle,richard montgomery high,44.0
810000,Q3_2021,3.0,4.0,2503.0,SINGLE_FAMILY,15388.99998768,20850,cold spring elementary,herbert hoover middle,winston churchill high,52.0
810000,Q3_2021,5.0,4.0,3976.0,SINGLE_FAMILY,11215.9999908,20833,greenwood elementary,rosa m. parks middle,sherwood high,24.0
810000,Q3_2021,4.0,6.0,4024.0,SINGLE_FAMILY,11560.9999824,20850,college gardens elementary,julius west middle,richard montgomery high,51.0
810000,Q2_2021,4.0,5.0,3824.0,SINGLE_FAMILY,10689.0,20905,stonegate elementary,argyle middle,james hubert blake high,4.0
810000,Q1_2021,3.0,5.0,2690.0,SINGLE_FAMILY,11284.99998912,20854,ritchie park elementary,julius west middle,winston churchill high,52.0
810000,Q1_2021,4.0,5.0,2393.0,SINGLE_FAMILY,9000.0,20854,ritchie park elementary,julius west middle,winston churchill high,53.0
810000,Q2_2021,3.0,5.0,4184.0,SINGLE_FAMILY,23550.000008040002,20833,greenwood elementary,rosa m. parks middle,sherwood high,209.0
810000,Q3_2020,4.0,4.0,6004.0,SINGLE_FAMILY,46316.99999916,20879,flower hill elementary,redland middle,gaithersburg high,25.0
810000,Q2_2021,3.0,4.0,2544.0,SINGLE_FAMILY,87120.0,20855,flower valley elementary,redland middle,rockville high,42.0
810000,Q2_2021,3.0,4.0,2456.0,SINGLE_FAMILY,11685.000012839999,20854,ritchie park elementary,cabin john middle,winston churchill high,57.0
810000,Q2_2021,5.0,4.0,3586.0,SINGLE_FAMILY,19275.00000228,20853,flower valley elementary,earle b. wood middle,rockville high,48.0
810000,Q2_2021,5.0,4.0,4764.0,SINGLE_FAMILY,25578.00001548,20866,greencastle elementary,benjamin banneker middle,paint branch high,17.0
810000,Q2_2021,3.0,5.0,3484.0,SINGLE_FAMILY,36244.99999692,20850,beall elementary,julius west middle,richard montgomery high,123.0
810000,Q2_2021,3.0,4.0,2935.0,SINGLE_FAMILY,15632.00001396,20853,flower valley elementary,earle b. wood middle,rockville high,52.0
810000,Q3_2020,4.0,4.0,3827.0,SINGLE_FAMILY,22230.00002124,20832,greenwood elementary,rosa m. parks middle,james hubert blake high,54.0
810000,Q1_2021,4.0,5.0,3789.0,TOWNHOUSE,2378.0,20878,diamond elementary,lakelands park middle,quince orchard high,21.0
810000,Q3_2021,5.0,6.0,5360.0,SINGLE_FAMILY,15393.000015360001,20904,strathmore elementary,argyle middle,john f. kennedy high,28.0
810000,Q3_2020,4.0,6.0,3618.0,SINGLE_FAMILY,18326.00001276,20852,ritchie park elementary,tilden middle,winston churchill high,56.0
810000,Q2_2021,5.0,4.0,5008.0,SINGLE_FAMILY,23685.99999084,20866,greencastle elementary,benjamin banneker middle,paint branch high,20.0
810000,Q2_2021,4.0,6.0,4025.0,SINGLE_FAMILY,9347.0,20904,kemp mill elementary,white oak middle,springbrook high,5.0
810700,Q2_2021,5.0,4.0,3047.0,SINGLE_FAMILY,16925.99999508,20905,stonegate elementary,argyle middle,james hubert blake high,33.0
810888,Q2_2021,4.0,4.0,2960.0,SINGLE_FAMILY,8807.0,20854,ritchie park elementary,julius west middle,winston churchill high,44.0
811000,Q1_2021,5.0,5.0,3232.0,SINGLE_FAMILY,9557.0,20850,lakewood elementary,julius west middle,richard montgomery high,56.0
811000,Q3_2021,4.0,3.0,2644.0,TOWNHOUSE,2250.0,20854,stone mill elementary,lakelands park middle,winston churchill high,23.0
811776,Q3_2020,4.0,5.0,4086.0,SINGLE_FAMILY,48491.00001504,20904,forest knolls elementary,white oak middle,springbrook high,69.0
812000,Q1_2021,4.0,3.0,2589.0,TOWNHOUSE,2250.0,20854,cold spring elementary,cabin john middle,winston churchill high,25.0
812000,Q1_2021,5.0,4.0,6392.0,SINGLE_FAMILY,20707.99998696,20905,stonegate elementary,argyle middle,james hubert blake high,35.0
812000,Q1_2021,5.0,5.0,4700.0,SINGLE_FAMILY,7700.0,20871,wilson wims elementary,rocky hill middle,clarksburg high,7.0
812000,Q1_2021,4.0,5.0,4634.0,SINGLE_FAMILY,88426.99998396,20882,whetstone elementary,neelsville middle,watkins mill high,35.0
812000,Q1_2021,4.0,4.0,3014.0,SINGLE_FAMILY,10800.0,20854,ritchie park elementary,julius west middle,winston churchill high,55.0
812500,Q3_2021,4.0,4.0,1564.0,SINGLE_FAMILY,6042.0,20895,rock view elementary,a. mario loiederman middle,albert einstein high,65.0
813000,Q2_2021,3.0,4.0,2022.0,SINGLE_FAMILY,9021.0,20854,ritchie park elementary,julius west middle,winston churchill high,57.0
813280,Q1_2021,3.0,4.0,2422.0,SINGLE_FAMILY,10506.0,20854,cold spring elementary,julius west middle,winston churchill high,49.0
814000,Q1_2021,4.0,3.0,2198.0,TOWNHOUSE,3534.0,20818,bethesda elementary,tilden middle,walt whitman high,39.0
814000,Q2_2021,4.0,5.0,4571.0,SINGLE_FAMILY,78862.00000536001,20866,greencastle elementary,benjamin banneker middle,paint branch high,8.0
814000,Q1_2021,4.0,4.0,3959.0,SINGLE_FAMILY,20757.99998448,20853,flower valley elementary,earle b. wood middle,rockville high,50.0
814000,Q3_2021,4.0,5.0,4949.0,SINGLE_FAMILY,62754.00000804,20866,greencastle elementary,benjamin banneker middle,paint branch high,35.0
814500,Q2_2021,3.0,4.0,2085.0,SINGLE_FAMILY,9590.0,20901,rolling terrace elementary,eastern middle,northwood high,80.0
815000,Q1_2021,4.0,4.0,2248.0,SINGLE_FAMILY,8395.0,20912,rolling terrace elementary,sligo middle,northwood high,83.0
815000,Q3_2020,4.0,5.0,3000.0,SINGLE_FAMILY,9370.0,20901,forest knolls elementary,eastern middle,northwood high,71.0
815000,Q1_2021,2.0,3.0,2194.0,SINGLE_FAMILY,13038.0000102,20815,bethesda elementary,thomas w. pyle middle,albert einstein high,62.0
815000,Q1_2021,3.0,4.0,3006.0,SINGLE_FAMILY,6104.0,20817,ashburton elementary,thomas w. pyle middle,walter johnson high,49.0
815000,Q2_2021,4.0,5.0,3585.0,SINGLE_FAMILY,7624.0,20895,flora m. singer elementary,sligo middle,albert einstein high,29.0
815000,Q2_2021,5.0,6.0,3027.0,SINGLE_FAMILY,7746.0,20910,east silver spring elementary,sligo middle,northwood high,74.0
